#====================================================================
#
#var gq = {};
#load manzil1,7.js + manzil2,3,4.js + manzil5,6.js
#word for word translation:
#var str = ''; for (var ct = 0; ct < 4; ct++) { gq[['MANZIL1','MANZIL234','MANZIL56','MANZIL7'][ct]].slice(1).forEach(function (it) { str += it.replace(/⚓/gm, '\t').replace(/★/gm, '\r\n').replace(/.*\t(.*)\t.*\r\n/gm, '$1|').slice(0, -1) + '\r\n'; }); } console.log(str);
#load suras from tanzil.net quran-data.js QuranData.Sura
#morphological data:
#var s = 1, a = 0, w, str = ''; for (var ct = 0; ct < 4; ct++) { gq[['MANZIL1','MANZIL234','MANZIL56','MANZIL7'][ct]].slice(1).forEach(function (it) { w = 1; if (a >= suras[s][1]) { s++; a = 1; } else { a++; } str += it.replace(/⚓/gm, '\t').replace(/★/gm, '\r\n').replace(/(.*\t).*\t(.*?)\|(.*\r\n)/gm, function (m, c1, c2, c3) { return '(' + s + ':' + a + ':' + w++ + ')\t' + c1 + c2 + '\t' + c3; }); }); } console.log(str);
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(2:9:1)	yuxa`diEuwna	V	IMPF|(III)|LEM:yuxa`diEu|ROOT:xdE|3MP
(2:9:2)	{ll~aha	 PN	LEM:{ll~ah|ROOT:Alh|ACC
(2:9:3)	wa{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:9:4)	'aAmanuwA@	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:9:5)	wamaA	 NEG	LEM:maA
(2:9:6)	yaxodaEuwna	 V	IMPF|LEM:yaxodaEu|ROOT:xdE|3MP
(2:9:7)	<il~aA^	 RES	LEM:<il~aA
(2:9:8)	>anfusahumo	 N	LEM:nafos|ROOT:nfs|FP|ACC
(2:9:9)	wamaA	 NEG	LEM:maA
(2:9:10)	ya$oEuruwna	 V	IMPF|LEM:ya$oEuru|ROOT:$Er|3MP
(2:10:1)	fiY	P	LEM:fiY
(2:10:2)	quluwbihim	 N	LEM:qalob|ROOT:qlb|FP|GEN
(2:10:3)	m~araDN	 N	LEM:m~araD|ROOT:mrD|M|INDEF|NOM
(2:10:4)	fazaAdahumu	 V	PERF|LEM:zaAda|ROOT:zyd|3MS
(2:10:5)	{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:10:6)	maraDFA	 N	LEM:m~araD|ROOT:mrD|M|INDEF|ACC
(2:10:7)	walahumo	 PRON	3MP
(2:10:8)	Ea*aAbN	 N	LEM:Ea*aAb|ROOT:E*b|M|INDEF|NOM
(2:10:9)	>aliymN[	 ADJ	LEM:>aliym|ROOT:Alm|MS|INDEF|NOM
(2:10:10)	bimaA	 REL	LEM:maA
(2:10:11)	kaAnuwA@	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MP
(2:10:12)	yako*ibuwna	 V	IMPF|LEM:ka*aba|ROOT:k*b|3MP
(2:11:1)	wa<i*aA	T	LEM:<i*aA
(2:11:2)	qiyla	 V	PERF|PASS|LEM:qaAla|ROOT:qwl|3MS
(2:11:3)	lahumo	 PRON	3MP
(2:11:4)	laA	 PRO	LEM:laA
(2:11:5)	tufosiduwA@	 V	IMPF|(IV)|LEM:>afosadu|ROOT:fsd|2MP|MOOD:JUS
(2:11:6)	fiY	 P	LEM:fiY
(2:11:7)	{lo>aroDi	 N	LEM:>aroD|ROOT:ArD|F|GEN
(2:11:8)	qaAluw^A@	 V	PERF|LEM:qaAla|ROOT:qwl|3MP
(2:11:9)	<in~amaA	 ACC	LEM:<in~|SP:<in~
(2:11:10)	naHonu	 PRON	1P
(2:11:11)	muSoliHuwna	 N	ACT|PCPL|(IV)|LEM:muSoliH|ROOT:SlH|MP|NOM
(2:12:1)	>alaA^	INC	LEM:>alaA^
(2:12:2)	<in~ahumo	 ACC	LEM:<in~|SP:<in~
(2:12:3)	humu	 PRON	3MP
(2:12:4)	{lomufosiduwna	 N	ACT|PCPL|(IV)|LEM:mufosid|ROOT:fsd|MP|NOM
(2:12:5)	wala`kin	 AMD	LEM:la`kin
(2:12:6)	l~aA	 NEG	LEM:laA
(2:12:7)	ya$oEuruwna	 V	IMPF|LEM:ya$oEuru|ROOT:$Er|3MP
(2:13:1)	wa<i*aA	T	LEM:<i*aA
(2:13:2)	qiyla	 V	PERF|PASS|LEM:qaAla|ROOT:qwl|3MS
(2:13:3)	lahumo	 PRON	3MP
(2:13:4)	'aAminuwA@	 V	IMPV|(IV)|LEM:'aAmana|ROOT:Amn|2MP
(2:13:5)	kamaA^	 SUB	LEM:maA
(2:13:6)	'aAmana	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MS
(2:13:7)	{ln~aAsu	 N	LEM:n~aAs|ROOT:nws|MP|NOM
(2:13:8)	qaAluw^A@	 V	PERF|LEM:qaAla|ROOT:qwl|3MP
(2:13:9)	>anu&ominu	 V	IMPF|(IV)|LEM:'aAmana|ROOT:Amn|1P
(2:13:10)	kamaA^	 SUB	LEM:maA
(2:13:11)	'aAmana	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MS
(2:13:12)	{ls~ufahaA^'u	 N	LEM:safiyh|ROOT:sfh|MP|NOM
(2:13:13)	>alaA^	 INC	LEM:>alaA^
(2:13:14)	<in~ahumo	 ACC	LEM:<in~|SP:<in~
(2:13:15)	humu	 PRON	3MP
(2:13:16)	{ls~ufahaA^'u	 N	LEM:safiyh|ROOT:sfh|MP|NOM
(2:13:17)	wala`kin	 AMD	LEM:la`kin
(2:13:18)	l~aA	 NEG	LEM:laA
(2:13:19)	yaEolamuwna	 V	IMPF|LEM:Ealima|ROOT:Elm|3MP
(2:14:1)	wa<i*aA	T	LEM:<i*aA
(2:14:2)	laquwA@	 V	PERF|LEM:laqu|ROOT:lqy|3MP
(2:14:3)	{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:14:4)	'aAmanuwA@	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:14:5)	qaAluw^A@	 V	PERF|LEM:qaAla|ROOT:qwl|3MP
(2:14:6)	'aAman~aA	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|1P
(2:14:7)	wa<i*aA	 T	LEM:<i*aA
(2:14:8)	xalawoA@	 V	PERF|LEM:xalaA|ROOT:xlw|3MP
(2:14:9)	<ilaY`	 P	LEM:<ilaY`
(2:14:10)	$aya`Tiynihimo	 N	LEM:$ayoTa`n|ROOT:$Tn|MP|GEN
(2:14:11)	qaAluw^A@	 V	PERF|LEM:qaAla|ROOT:qwl|3MP
(2:14:12)	<in~aA	 ACC	LEM:<in~|SP:<in~
(2:14:13)	maEakumo	 LOC	LEM:maE|ACC
(2:14:14)	<in~amaA	 ACC	LEM:<in~|SP:<in~
(2:14:15)	naHonu	 PRON	1P
(2:14:16)	musotahozi'uwna	 N	ACT|PCPL|(X)|LEM:musotahozi'uwn|ROOT:hzA|MP|NOM
(2:15:1)	{ll~ahu	PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:15:2)	yasotahozi}u	 V	IMPF|(X)|LEM:{sotuhozi}a|ROOT:hzA|3MS
(2:15:3)	bihimo	 PRON	3MP
(2:15:4)	wayamud~uhumo	 V	IMPF|LEM:mad~a|ROOT:mdd|3MS
(2:15:5)	fiY	 P	LEM:fiY
(2:15:6)	Tugoya`nihimo	 N	VN|LEM:Tugoya`n|ROOT:Tgy|M|GEN
(2:15:7)	yaEomahuwna	 V	IMPF|LEM:yaEomahu|ROOT:Emh|3MP
(2:16:1)	>uw@la`^}ika	DEM	LEM:>uwla`^}ik|P
(2:16:2)	{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:16:3)	{$otarawuA@	 V	PERF|(VIII)|LEM:{$otaraY`|ROOT:$ry|3MP
(2:16:4)	{lD~ala`lapa	 N	LEM:Dala`lap|ROOT:Dll|F|ACC
(2:16:5)	bi{lohudaY`	 N	LEM:hudFY|ROOT:hdy|M|GEN
(2:16:6)	famaA	 NEG	LEM:maA
(2:16:7)	rabiHat	 V	PERF|LEM:rabiHat|ROOT:rbH|3FS
(2:16:8)	t~ija`ratuhumo	 N	LEM:tija`rap|ROOT:tjr|F|NOM
(2:16:9)	wamaA	 NEG	LEM:maA
(2:16:10)	kaAnuwA@	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MP
(2:16:11)	muhotadiyna	 N	ACT|PCPL|(VIII)|LEM:m~uhotaduwn|ROOT:hdy|MP|ACC
(2:17:1)	mavaluhumo	N	LEM:maval|ROOT:mvl|M|NOM
(2:17:2)	kamavali	 N	LEM:maval|ROOT:mvl|M|GEN
(2:17:3)	{l~a*iY	 REL	LEM:{l~a*iY|MS
(2:17:4)	{sotawoqada	 V	PERF|(X)|LEM:{sotawoqada|ROOT:wqd|3MS
(2:17:5)	naArFA	 N	LEM:naAr|ROOT:nwr|F|INDEF|ACC
(2:17:6)	falam~aA^	 T	LEM:lam~aA
(2:17:7)	>aDaA^'ato	 V	PERF|(IV)|LEM:>aDaA^'a|ROOT:DwA|3FS
(2:17:8)	maA	 REL	LEM:maA
(2:17:9)	Hawolahu,	 LOC	LEM:Hawol|ROOT:Hwl|M|ACC
(2:17:10)	*ahaba	 V	PERF|LEM:*ahaba|ROOT:*hb|3MS
(2:17:11)	{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:17:12)	binuwrihimo	 N	LEM:nuwr|ROOT:nwr|M|GEN
(2:17:13)	watarakahumo	 V	PERF|LEM:taraka|ROOT:trk|3MS
(2:17:14)	fiY	 P	LEM:fiY
(2:17:15)	Zuluma`tK	 N	LEM:Zuluma`t|ROOT:Zlm|FP|INDEF|GEN
(2:17:16)	l~aA	 NEG	LEM:laA
(2:17:17)	yuboSiruwna	 V	IMPF|(IV)|LEM:>aboSara|ROOT:bSr|3MP
(2:18:1)	Sum~N[	N	LEM:>aSam~|ROOT:Smm|P|INDEF|NOM
(2:18:2)	bukomN	 N	LEM:>abokam|ROOT:bkm|P|INDEF|NOM
(2:18:3)	EumoYN	 N	LEM:>aEomaY`|ROOT:Emy|MP|INDEF|NOM
(2:18:4)	fahumo	 PRON	3MP
(2:18:5)	laA	 NEG	LEM:laA
(2:18:6)	yarojiEuwna	 V	IMPF|LEM:rajaEa|ROOT:rjE|3MP
(2:19:1)	>awo	CONJ	LEM:>aw
(2:19:2)	kaSay~ibK	 N	LEM:Say~ib|ROOT:Swb|M|INDEF|GEN
(2:19:3)	m~ina	 P	LEM:min
(2:19:4)	{ls~amaA^'i	 N	LEM:samaA^'|ROOT:smw|F|GEN
(2:19:5)	fiyhi	 P	LEM:fiY
(2:19:6)	Zuluma`tN	 N	LEM:Zuluma`t|ROOT:Zlm|FP|INDEF|NOM
(2:19:7)	waraEodN	 N	LEM:raEod|ROOT:rEd|M|INDEF|NOM
(2:19:8)	wabaroqN	 N	LEM:baroq|ROOT:brq|M|INDEF|NOM
(2:19:9)	yajoEaluwna	 V	IMPF|LEM:jaEala|ROOT:jEl|3MP
(2:19:10)	>aSa`biEahumo	 N	LEM:>aSa`biE|ROOT:SbE|MP|ACC
(2:19:11)	fiY^	 P	LEM:fiY
(2:19:12)	'aA*aAnihim	 N	LEM:>u*unN|ROOT:A*n|FP|GEN
(2:19:13)	m~ina	 P	LEM:min
(2:19:14)	{lS~awa`Eiqi	 N	LEM:SaAEiqap|ROOT:SEq|FP|GEN
(2:19:15)	Ha*ara	 N	VN|LEM:Ha*ar|ROOT:H*r|M|ACC
(2:19:16)	{lomawoti	 N	LEM:mawot|ROOT:mwt|M|GEN
(2:19:17)	wa{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:19:18)	muHiyTN[	 N	ACT|PCPL|(IV)|LEM:muHiyT|ROOT:HwT|M|INDEF|NOM
(2:19:19)	bi{loka`firiyna	 N	ACT|PCPL|LEM:ka`firuwn|ROOT:kfr|MP|GEN
(2:20:1)	yakaAdu	V	IMPF|LEM:kaAda|ROOT:kwd|SP:kaAd|3MS
(2:20:2)	{lobaroqu	 N	LEM:baroq|ROOT:brq|M|NOM
(2:20:3)	yaxoTafu	 V	IMPF|LEM:xaTifa|ROOT:xTf|3MS
(2:20:4)	>aboSa`rahumo	 N	LEM:baSar|ROOT:bSr|MP|ACC
(2:20:5)	kul~amaA^	 T	LEM:kul~amaA|ROOT:kll
(2:20:6)	>aDaA^'a	 V	PERF|(IV)|LEM:>aDaA^'a|ROOT:DwA|3MS
(2:20:7)	lahum	 PRON	3MP
(2:20:8)	m~a$awoA@	 V	PERF|LEM:m~a$a|ROOT:m$y|3MP
(2:20:9)	fiyhi	 P	LEM:fiY
(2:20:10)	wa<i*aA^	 T	LEM:<i*aA
(2:20:11)	>aZolama	 V	PERF|(IV)|LEM:>aZolama|ROOT:Zlm|3MS
(2:20:12)	Ealayohimo	 P	LEM:EalaY`
(2:20:13)	qaAmuwA@	 V	PERF|LEM:qaAma|ROOT:qwm|3MP
(2:20:14)	walawo	 COND	LEM:law
(2:20:15)	$aA^'a	 V	PERF|LEM:$aA^'a|ROOT:$yA|3MS
(2:20:16)	{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:20:17)	la*ahaba	 V	PERF|LEM:*ahaba|ROOT:*hb|3MS
(2:20:18)	bisamoEihimo	 N	LEM:samoE|ROOT:smE|M|GEN
(2:20:19)	wa>aboSa`rihimo	 N	LEM:baSar|ROOT:bSr|MP|GEN
(2:20:20)	<in~a	 ACC	LEM:<in~|SP:<in~
(2:20:21)	{ll~aha	 PN	LEM:{ll~ah|ROOT:Alh|ACC
(2:20:22)	EalaY`	 P	LEM:EalaY`
(2:20:23)	kul~i	 N	LEM:kul~|ROOT:kll|M|GEN
(2:20:24)	$aYo'K	 N	LEM:$aYo'|ROOT:$yA|M|INDEF|GEN
(2:20:25)	qadiyrN	 N	LEM:qadiyr|ROOT:qdr|M|INDEF|NOM
(2:21:1)	ya`^>ay~uhaA	N	LEM:>ay~uhaA|NOM
(2:21:2)	{ln~aAsu	 N	LEM:n~aAs|ROOT:nws|MP|NOM
(2:21:3)	{EobuduwA@	 V	IMPV|LEM:Eabada|ROOT:Ebd|2MP
(2:21:4)	rab~akumu	 N	LEM:rab~|ROOT:rbb|M|ACC
(2:21:5)	{l~a*iY	 REL	LEM:{l~a*iY|MS
(2:21:6)	xalaqakumo	 V	PERF|LEM:xalaqa|ROOT:xlq|3MS
(2:21:7)	wa{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:21:8)	min	 P	LEM:min
(2:21:9)	qabolikumo	 N	LEM:qabol|ROOT:qbl|GEN
(2:21:10)	laEal~akumo	 ACC	LEM:laEal~|SP:<in~
(2:21:11)	tat~aquwna	 V	IMPF|(VIII)|LEM:{t~aqaY`|ROOT:wqy|2MP
(2:22:1)	{l~a*iY	REL	LEM:{l~a*iY|MS
(2:22:2)	jaEala	 V	PERF|LEM:jaEala|ROOT:jEl|3MS
(2:22:3)	lakumu	 PRON	2MP
(2:22:4)	{lo>aroDa	 N	LEM:>aroD|ROOT:ArD|F|ACC
(2:22:5)	fira`$FA	 N	LEM:fira`$|ROOT:fr$|M|INDEF|ACC
(2:22:6)	wa{ls~amaA^'a	 N	LEM:samaA^'|ROOT:smw|F|ACC
(2:22:7)	binaA^'F	 N	LEM:binaA^'|ROOT:bny|M|INDEF|ACC
(2:22:8)	wa>anzala	 V	PERF|(IV)|LEM:>anzala|ROOT:nzl|3MS
(2:22:9)	mina	 P	LEM:min
(2:22:10)	{ls~amaA^'i	 N	LEM:samaA^'|ROOT:smw|F|GEN
(2:22:11)	maA^'F	 N	LEM:maA^'|ROOT:mwh|M|INDEF|ACC
(2:22:12)	fa>axoraja	 V	PERF|(IV)|LEM:>axoraja|ROOT:xrj|3MS
(2:22:13)	bihi.	 PRON	3MS
(2:22:14)	mina	 P	LEM:min
(2:22:15)	{lv~amara`ti	 N	LEM:vamara`t|ROOT:vmr|FP|GEN
(2:22:16)	rizoqFA	 N	LEM:rizoq|ROOT:rzq|M|INDEF|ACC
(2:22:17)	l~akumo	 PRON	2MP
(2:22:18)	falaA	 PRO	LEM:laA
(2:22:19)	tajoEaluwA@	 V	IMPF|LEM:jaEala|ROOT:jEl|2MP|MOOD:JUS
(2:22:20)	lil~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(2:22:21)	>andaAdFA	 N	LEM:>andaAd|ROOT:ndd|MP|INDEF|ACC
(2:22:22)	wa>antumo	 PRON	2MP
(2:22:23)	taEolamuwna	 V	IMPF|LEM:Ealima|ROOT:Elm|2MP
(2:23:1)	wa<in	COND	LEM:<in
(2:23:2)	kuntumo	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|2MP
(2:23:3)	fiY	 P	LEM:fiY
(2:23:4)	rayobK	 N	LEM:rayob|ROOT:ryb|M|INDEF|GEN
(2:23:5)	m~im~aA	 P	LEM:min
(2:23:6)	naz~alonaA	 V	PERF|(II)|LEM:naz~ala|ROOT:nzl|1P
(2:23:7)	EalaY`	 P	LEM:EalaY`
(2:23:8)	EabodinaA	 N	LEM:Eabod|ROOT:Ebd|M|GEN
(2:23:9)	fa>otuwA@	 V	IMPV|LEM:>ataY|ROOT:Aty|2MP
(2:23:10)	bisuwrapK	 N	LEM:suwrap|ROOT:swr|F|INDEF|GEN
(2:23:11)	m~in	 P	LEM:min
(2:23:12)	m~ivolihi.	 N	LEM:mivol|ROOT:mvl|M|GEN
(2:23:13)	wa{doEuwA@	 V	IMPV|LEM:daEaA|ROOT:dEw|2MP
(2:23:14)	$uhadaA^'akum	 N	LEM:$ahiyd|ROOT:$hd|MP|ACC
(2:23:15)	m~in	 P	LEM:min
(2:23:16)	duwni	 N	LEM:duwn|ROOT:dwn|GEN
(2:23:17)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(2:23:18)	<in	 COND	LEM:<in
(2:23:19)	kuntumo	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|2MP
(2:23:20)	Sa`diqiyna	 N	ACT|PCPL|LEM:SaAdiq|ROOT:Sdq|MP|ACC
(2:24:1)	fa<in	COND	LEM:<in
(2:24:2)	l~amo	 NEG	LEM:lam
(2:24:3)	tafoEaluwA@	 V	IMPF|LEM:faEala|ROOT:fEl|2MP|MOOD:JUS
(2:24:4)	walan	 NEG	LEM:lan
(2:24:5)	tafoEaluwA@	 V	IMPF|LEM:faEala|ROOT:fEl|2MP|MOOD:SUBJ
(2:24:6)	fa{t~aquwA@	 V	IMPV|(VIII)|LEM:{t~aqaY`|ROOT:wqy|2MP
(2:24:7)	{ln~aAra	 N	LEM:naAr|ROOT:nwr|F|ACC
